Name,HB153,HB404,HB540,HB72,HCR48,HCR90,HJR56
Adkins,Yay,Nay,Yay,Nay,Yay,Yay,Yay
Bechler,Yay,Yay,NV,Yay,Yay,Yay,Yay
Bentley,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Benvenuti,Yay,Yay,Yay,Yay,Yay,NV,Yay
Blanton,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Bratcher,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Brown G,Yay,Nay,Yay,Nay,Nay,Yay,Yay
Brown L,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Bunch,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Burch,Yay,Nay,Yay,NV,Nay,Yay,NV
Cantrell,Yay,Nay,Yay,Nay,Yay,Yay,Yay
Carney,Yay,Yay,Yay,Yay,NV,Yay,NV
Castlen,Yay,Yay,Yay,NV,Yay,Yay,Yay
Couch,Yay,Yay,Yay,Nay,Yay,Yay,Yay
Coursey,Yay,Nay,NV,Nay,NV,Yay,NV
DeCesare,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Donohue,Yay,Nay,Yay,Nay,Nay,Yay,Yay
Dossett,Yay,Yay,Yay,Yay,Yay,Yay,Yay
DuPlessis,Yay,Yay,Yay,Yay,NV,Yay,Yay
Elliott,Yay,Yay,NV,Yay,Nay,Yay,Yay
Fischer,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Fleming,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Flood,Yay,Nay,NV,Nay,Nay,NV,Yay
Fugate,Yay,Yay,Yay,Nay,NV,Yay,Yay
Gentry,Yay,Nay,Yay,Nay,Yay,Yay,Yay
Gooch,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Graham,Yay,Nay,Yay,Nay,Nay,Yay,Yay
Greer,Yay,Nay,Yay,Nay,Yay,NV,Yay
Hale,Yay,Yay,Yay,Nay,Yay,Yay,Yay
Harris,Yay,Nay,Yay,Nay,Nay,Yay,Yay
Hart,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Hatton,Yay,Nay,Yay,Nay,Yay,Yay,Yay
Heath,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Herald,Yay,Yay,Yay,NV,NA,Yay,NV
Hoover,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Horlander,Yay,Nay,Yay,Nay,NV,Yay,Yay
Imes,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Jenkins,Yay,Nay,Yay,Nay,Nay,Yay,Yay
Johnson D,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Johnson DJ,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Kay,Yay,Nay,Yay,Nay,NV,Yay,Yay
Keene,Yay,Nay,Yay,Nay,Nay,Yay,NV
King,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Koenig,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Lee,Yay,Yay,Yay,Nay,Yay,Yay,Yay
Linder,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Marzian,Yay,Nay,NV,NV,Nay,Yay,Yay
Mayfield,Yay,Yay,Yay,Nay,Yay,Yay,Yay
McCoy,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Meade,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Meeks,Yay,NV,Yay,Nay,NV,NV,NV
Meredith,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Meyer,Yay,Nay,Yay,Nay,Yay,Yay,Yay
Miles,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Miller C,Yay,Nay,Yay,Nay,NV,Yay,NV
Miller J,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Mills,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Moffett,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Moore,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Morgan,Yay,Yay,Yay,Yay,Yay,Yay,NV
Moser,Yay,Yay,Yay,Yay,Nay,Yay,Yay
Nelson,Yay,Nay,Yay,Nay,Yay,Yay,Yay
Nemes,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Osborne,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Overly,Yay,Nay,Yay,Nay,NA,Yay,Yay
Owens,Yay,Nay,Yay,Nay,NV,Yay,Yay
Palumbo,Yay,Nay,Yay,Nay,NV,Yay,Yay
Petrie,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Pratt,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Prunty,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Rader,NV,NV,NV,NV,NV,NV,NV
Rand,Yay,Nay,Yay,Nay,Yay,Yay,NV
Reed,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Richards,Yay,Nay,Yay,Nay,Yay,Yay,Yay
Riggs,Yay,NV,Yay,Nay,Nay,NV,Yay
Riley,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Rothenburger,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Rowland,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Rudy,Yay,Yay,Yay,NV,Yay,Yay,Yay
Santoro,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Schamore,Yay,Nay,Yay,Nay,Yay,Yay,Yay
Scott,Yay,Nay,Yay,Nay,NV,Yay,NV
Shell,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Simpson,Yay,Nay,Yay,Nay,NV,Yay,Yay
Sims,Yay,Nay,Yay,Nay,Yay,Yay,Yay
Sinnette,NV,Nay,Yay,Nay,Yay,Yay,Yay
St. Onge,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Stewart,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Stone,Yay,Nay,Yay,Nay,NV,Yay,NV
Thomas,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Tipton,Yay,Nay,Yay,Yay,Yay,Yay,Yay
Turner,Yay,Yay,Yay,NV,Yay,Yay,Yay
Upchurch,Yay,Yay,Yay,NV,Yay,Yay,Yay
Watkins,Yay,Nay,Yay,Nay,NV,Yay,NV
Wayne,Yay,Nay,NV,NV,Nay,Yay,Yay
Webber,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Wells,Yay,Yay,Yay,NV,Yay,Yay,Yay
Westrom,Yay,Nay,Yay,Nay,NV,Yay,Yay
Wuchner,Yay,Yay,Yay,Yay,Yay,Yay,Yay
York,Yay,Nay,Yay,Nay,Yay,Yay,Yay
Adkins,Yay,Nay,Yay,Nay,Yay,Yay,Yay
Bechler,Yay,Yay,NV,Yay,Yay,Yay,Yay
Bentley,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Benvenuti,Yay,Yay,Yay,Yay,Yay,NV,Yay
Blanton,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Bratcher,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Brown G,Yay,Nay,Yay,Nay,Nay,Yay,Yay
Brown L,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Bunch,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Burch,Yay,Nay,Yay,NV,Nay,Yay,NV
Cantrell,Yay,Nay,Yay,Nay,Yay,Yay,Yay
Carney,Yay,Yay,Yay,Yay,NV,Yay,NV
Castlen,Yay,Yay,Yay,NV,Yay,Yay,Yay
Couch,Yay,Yay,Yay,Nay,Yay,Yay,Yay
Coursey,Yay,Nay,NV,Nay,NV,Yay,NV
DeCesare,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Donohue,Yay,Nay,Yay,Nay,Nay,Yay,Yay
Dossett,Yay,Yay,Yay,Yay,Yay,Yay,Yay
DuPlessis,Yay,Yay,Yay,Yay,NV,Yay,Yay
Elliott,Yay,Yay,NV,Yay,Nay,Yay,Yay
Fischer,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Fleming,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Flood,Yay,Nay,NV,Nay,Nay,NV,Yay
Fugate,Yay,Yay,Yay,Nay,NV,Yay,Yay
Gentry,Yay,Nay,Yay,Nay,Yay,Yay,Yay
Gooch,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Graham,Yay,Nay,Yay,Nay,Nay,Yay,Yay
Greer,Yay,Nay,Yay,Nay,Yay,NV,Yay
Hale,Yay,Yay,Yay,Nay,Yay,Yay,Yay
Harris,Yay,Nay,Yay,Nay,Nay,Yay,Yay
Hart,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Hatton,Yay,Nay,Yay,Nay,Yay,Yay,Yay
Heath,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Herald,Yay,Yay,Yay,NV,NA,Yay,NV
Hoover,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Horlander,Yay,Nay,Yay,Nay,NV,Yay,Yay
Imes,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Jenkins,Yay,Nay,Yay,Nay,Nay,Yay,Yay
Johnson D,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Johnson DJ,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Kay,Yay,Nay,Yay,Nay,NV,Yay,Yay
Keene,Yay,Nay,Yay,Nay,Nay,Yay,NV
King,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Koenig,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Lee,Yay,Yay,Yay,Nay,Yay,Yay,Yay
Linder,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Marzian,Yay,Nay,NV,NV,Nay,Yay,Yay
Mayfield,Yay,Yay,Yay,Nay,Yay,Yay,Yay
McCoy,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Meade,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Meeks,Yay,NV,Yay,Nay,NV,NV,NV
Meredith,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Meyer,Yay,Nay,Yay,Nay,Yay,Yay,Yay
Miles,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Miller C,Yay,Nay,Yay,Nay,NV,Yay,NV
Miller J,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Mills,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Moffett,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Moore,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Morgan,Yay,Yay,Yay,Yay,Yay,Yay,NV
Moser,Yay,Yay,Yay,Yay,Nay,Yay,Yay
Nelson,Yay,Nay,Yay,Nay,Yay,Yay,Yay
Nemes,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Osborne,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Overly,Yay,Nay,Yay,Nay,NA,Yay,Yay
Owens,Yay,Nay,Yay,Nay,NV,Yay,Yay
Palumbo,Yay,Nay,Yay,Nay,NV,Yay,Yay
Petrie,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Pratt,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Prunty,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Rader,NV,NV,NV,NV,NV,NV,NV
Rand,Yay,Nay,Yay,Nay,Yay,Yay,NV
Reed,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Richards,Yay,Nay,Yay,Nay,Yay,Yay,Yay
Riggs,Yay,NV,Yay,Nay,Nay,NV,Yay
Riley,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Rothenburger,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Rowland,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Rudy,Yay,Yay,Yay,NV,Yay,Yay,Yay
Santoro,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Schamore,Yay,Nay,Yay,Nay,Yay,Yay,Yay
Scott,Yay,Nay,Yay,Nay,NV,Yay,NV
Shell,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Simpson,Yay,Nay,Yay,Nay,NV,Yay,Yay
Sims,Yay,Nay,Yay,Nay,Yay,Yay,Yay
Sinnette,NV,Nay,Yay,Nay,Yay,Yay,Yay
St. Onge,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Stewart,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Stone,Yay,Nay,Yay,Nay,NV,Yay,NV
Thomas,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Tipton,Yay,Nay,Yay,Yay,Yay,Yay,Yay
Turner,Yay,Yay,Yay,NV,Yay,Yay,Yay
Upchurch,Yay,Yay,Yay,NV,Yay,Yay,Yay
Watkins,Yay,Nay,Yay,Nay,NV,Yay,NV
Wayne,Yay,Nay,NV,NV,Nay,Yay,Yay
Webber,Yay,Yay,Yay,Yay,Yay,Yay,Yay
Wells,Yay,Yay,Yay,NV,Yay,Yay,Yay
Westrom,Yay,Nay,Yay,Nay,NV,Yay,Yay
Wuchner,Yay,Yay,Yay,Yay,Yay,Yay,Yay
York,Yay,Nay,Yay,Nay,Yay,Yay,Yay
